Year,Avg. Pace,Player,Team,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year
2020,99.5,Jeff Teague,BOS,9,24,32,15,5.9,1.8,2.1,0.9,0.2,1.1,0.455,0.7,0.4,18.2,6.2,0,0
2020,99.5,Jerami Grant,DET,15,31,32,9,23.3,5.2,3.1,0.8,1.2,1.8,0.571,2.5,1,26.5,12.1,0,0
2020,99.5,Jeremy Lamb,IND,4,17,30,15,12.2,4.2,1.5,0.8,0.5,0.9,0.68,1.9,0.5,17.3,10.9,0,0
2020,99.5,Jerome Robinson,WAS,12,13,30,12,5.2,2.5,1.4,0.5,0.2,0.8,0.456,0.7,0.1,16.1,5.2,0,0
2020,99.5,Jevon Carter,PHO,4,26,31,20,2.8,1.4,1.3,0.4,0.3,0.2,0.462,0.6,0.4,13.6,6.3,0,0
2020,99.5,Joe Harris,BRK,2,34,34,22,15.1,3.5,1.8,0.5,0.2,0.8,0.702,3.4,0.4,16.2,8.6,0,0
2020,99.5,Joe Ingles,UTA,1,28,32,26,11.5,3.4,4.5,0.4,0.2,1.6,0.7,2.5,0.8,16,11.3,0,0
2020,99.5,John Collins,ATL,11,32,32,14,17.4,7.5,1.5,0.4,1,1.3,0.622,1.3,0.8,21.3,12.1,0,0
2020,99.5,John Konchar,MEM,9,18,28,14,4.3,3.6,1.1,1,0.3,0.4,0.543,0.4,0.4,11.3,8,0,0
2020,99.5,John Wall,HOU,14,21,30,11,20.1,3.5,6.1,1,0.7,3.3,0.534,2,0.7,30.7,12.3,5,0
2020,99.5,Jonas Valančiūnas,MEM,9,23,28,14,16,11.3,1.9,0.6,0.7,2.1,0.607,0.4,0.9,23.7,14.2,0,0
2020,99.5,Jordan Bell,WAS,12,3,30,12,3.3,5.3,1.7,0.3,1,1,0.333,0,0.1,14.9,7.4,0,0
2020,99.5,Jordan Bone,ORL,13,14,33,13,4,1.7,1.3,0.1,0,0.2,0.519,0.7,0.1,12.4,6.7,0,0
2020,99.5,Jordan Clarkson,UTA,1,32,32,26,18.3,3.9,2.1,1,0.2,1.8,0.59,3.3,1.2,28.4,12.5,0,0
2020,99.5,Jordan McLaughlin,MIN,15,21,33,7,5.6,2.3,4.9,0.9,0.1,1.1,0.463,0.7,0.3,15.9,10,0,0
2020,99.5,Jordan Nwora,MIL,3,10,33,20,5.1,1.5,0,0.4,0.2,1,0.616,0.8,0.1,26.3,9.2,0,0
2020,99.5,Jordan Poole,GSW,7,15,33,18,5.5,1.2,0.9,0.2,0.1,0.5,0.598,0.9,0.1,23,11.3,0,0
2020,99.5,Josh Green,DAL,10,17,31,15,2.5,2.3,0.6,0.2,0.1,0.6,0.514,0.1,0.1,10.7,4.7,0,0
2020,99.5,Josh Hall,OKC,12,7,32,13,1.7,1.3,1,0,0,0.6,0.285,0.1,0,21.4,-0.8,0,0
2020,99.5,Josh Hart,NOP,11,32,32,14,9.1,7.3,2.1,0.8,0.3,0.8,0.583,1.4,0.6,12.9,9.6,0,0
2020,99.5,Josh Jackson,DET,15,30,32,9,13.6,4.5,1.9,0.8,0.9,2.3,0.525,1.3,0.8,26.6,8.5,0,0
2020,99.5,Josh Okogie,MIN,15,27,33,7,4.6,2.5,1,0.9,0.5,0.7,0.443,0.4,0.4,13.1,3.5,0,0
2020,99.5,Josh Richardson,DAL,10,22,31,15,12.9,3.3,2.5,0.8,0.2,1.5,0.555,1.5,0.3,18.2,6.5,0,0
2020,99.5,Jrue Holiday,MIL,3,23,33,20,16.4,4.8,5.4,1.9,0.6,1.6,0.593,1.9,1,19.9,11.7,1,0
2020,99.5,Juan Hernangómez,MIN,15,15,33,7,6.1,4.6,0.6,0.3,0.1,0.4,0.513,1.1,0.2,15.4,8.6,0,0
2020,99.5,Juan Toscano-Anderson,GSW,7,19,33,18,6.1,4.4,2.3,0.5,0.6,1,0.645,0.7,0.5,11.7,9.2,0,0
2020,99.5,Julius Randle,NYK,6,33,33,16,23.2,11,5.5,0.7,0.2,3.3,0.587,1.9,1.9,27.7,16.7,0,0
2020,99.5,Justin Holiday,IND,4,30,30,15,11.3,4.2,1.7,1.2,0.3,0.7,0.623,2.4,0.9,13.2,7.5,0,0
2020,99.5,Justin Jackson,OKC,12,21,32,13,7.3,2.3,1.7,0.4,0,1,0.547,1,0.3,19.6,7.8,0,0
2020,99.5,Justin James,SAC,13,12,32,12,1.8,0.7,0.4,0.3,0.1,0.1,0.415,0.2,0,17.7,4.5,0,0
2020,99.5,Justin Patton,HOU,14,2,30,11,5,3.5,0,0,2,0,0.506,0,0.1,12.4,7,0,0
2020,99.5,Justise Winslow,MEM,9,3,28,14,7,5.3,1,0.7,0.3,1.7,0.303,0.7,0.1,24.8,6.2,0,0
